Chromosome,start,end,length
1,265100,267294,2194
2,270162,273566,3404
3,248505,253663,5158
4,115311,121909,6598
5,377846,382190,4344
6,125432,130402,4970
7,207127,212289,5162
8,413541,417956,4415
9,260292,265641,5349
10,299825,304065,4240
11,159980,162841,2861
12,296390,300267,3877
13,128517,133623,5106
14,163463,168884,5421
15,334582,340844,6262
16,336567,339644,3077
17,350748,353585,2837
18,225371,228827,3456
19,617843,621779,3936
20,529165,533194,4029
21,540461,544752,4291
22,633481,638048,4567
23,550259,553350,3091
24,477372,480946,3574
25,576769,580597,3828
26,596574,600595,4021
27,997860,1000504,2644
28,823898,827117,3219
29,342503,345015,2512
30,234569,238164,3595
31,832834,836608,3774
32,1167381,1170983,3602
33,698029,700862,2833
34,302907,307392,4485
35,493933,497253,3320
36,1144446,1148407,3961
