Chromosome,start,end,length
1,271788,273641,1853
2,290425,294282,3857
3,258492,264125,5633
4,133151,139907,6756
5,394727,401474,6747
6,127506,132678,5172
7,220795,226048,5253
8,488733,493103,4370
9,292364,297339,4975
10,388511,393443,4932
11,174941,177655,2714
12,323586,326757,3171
13,146837,149331,2494
14,177483,183202,5719
15,375008,380628,5620
16,341526,345220,3694
17,356150,360445,4295
18,446218,452017,5799
19,664841,671146,6305
20,540689,544210,3521
21,567390,570923,3533
22,683637,687745,4108
23,572628,575484,2856
24,503950,506851,2901
25,590214,594001,3787
26,611615,614138,2523
27,1062446,1065349,2903
28,849693,852820,3127
29,310265,312601,2336
30,244792,248385,3593
31,840355,844174,3819
32,1175744,1179666,3922
33,757319,759761,2442
34,335851,340165,4314
35,616980,620172,3192
36,1209215,1213024,3809
