Chromosome,start,end,length
1,259412,260876,1464
2,256396,259567,3171
3,262760,271358,8598
4,170742,174439,3697
5,377705,380211,2506
6,128121,132057,3936
7,215217,220456,5239
8,413350,419689,6339
9,274626,276405,1779
10,367307,373671,6364
11,184077,186812,2735
12,267079,271037,3958
13,172602,177021,4419
14,165396,170230,4834
15,362773,368207,5434
16,360114,363405,3291
17,336288,340933,4645
18,508114,510031,1917
19,618706,621682,2976
20,667679,673579,5900
21,529429,533296,3867
22,598127,603670,5543
23,541411,544542,3131
24,479385,486602,7217
25,594688,596715,2027
26,606277,609717,3440
27,980408,983465,3057
28,927461,930907,3446
29,339771,343073,3302
30,231099,235562,4463
31,714082,718245,4163
32,1161851,1165529,3678
33,735350,738358,3008
34,110670,112143,1473
35,496961,499745,2784
36,1094990,1101615,6625
