Chromosome,start,end,length
1,257127,258779,1652
2,265286,268347,3061
3,247037,253049,6012
4,125556,132214,6658
5,360714,367337,6623
6,122808,127353,4545
7,208630,214601,5971
8,487415,491520,4105
9,271664,277252,5588
10,296024,300542,4518
11,159688,161740,2052
12,287267,290888,3621
13,143539,145503,1964
14,158327,162610,4283
15,323047,329621,6574
16,340157,343824,3667
17,341042,344013,2971
18,443679,449382,5703
19,623659,630786,7127
20,523188,526438,3250
21,226092,230262,4170
22,607629,610849,3220
23,550878,553709,2831
24,466526,470000,3474
25,586950,590645,3695
26,605982,610126,4144
27,983053,985531,2478
28,821996,824132,2136
29,340739,343087,2348
30,229776,233136,3360
31,778076,782143,4067
32,1168492,1172844,4352
33,761447,764410,2963
34,298581,302810,4229
35,546411,549741,3330
36,1112543,1116225,3682
