Chromosome,start,end,length
1,261539,264379,2840
2,231097,233708,2611
3,231546,237437,5891
4,113620,119620,6000
5,369242,375633,6391
6,120535,126477,5942
7,206936,208739,1803
8,368393,374526,6133
9,270752,272869,2117
10,627118,630580,3462
11,186809,188536,1727
12,287918,291115,3197
13,128529,135095,6566
14,151149,157004,5855
15,373423,380788,7365
16,331592,336215,4623
17,454874,457362,2488
18,461210,463486,2276
19,601656,607855,6199
20,479234,482969,3735
21,577773,582620,4847
22,611236,613158,1922
23,524951,527398,2447
24,463898,467993,4095
25,578477,584546,6069
26,590759,594989,4230
27,1017236,1019768,2532
28,822426,825445,3019
29,345674,349170,3496
30,256540,258291,1751
31,860260,864066,3806
32,1171339,1175509,4170
33,723093,727917,4824
34,315222,318726,3504
35,445434,448536,3102
36,1125717,1129488,3771
