Chromosome,start,end,length
1,271544.0110277686,272572.2416526476,1028.2306248790292
2,245579.25693137915,251648.51938463037,6069.262453251211
3,241625.4747745728,246906.75720499107,5281.282430418261
4,114179.1416696057,119019.95143940941,4840.809769803716
5,407954.9423622366,415005.1116262901,7050.169264053466
6,126535.21017437716,130090.50775362151,3555.2975792443503
7,201714.86069488514,204125.88999469765,2411.029299812512
8,382042.2592677026,386530.8524523565,4488.593184653884
9,256742.641415996,261509.23059033157,4766.589174335557
10,269992.20935566653,274157.4269163611,4165.217560694547
11,181353.5568852139,182506.1159279797,1152.5590427657917
12,293560.8919694917,297565.39869820187,4004.5067287101347
13,118648.71702484501,121972.91919850415,3324.2021736591482
14,173425.9569749203,178661.9485371679,5235.9915622476055
15,288327.22740299336,294207.2089813816,5879.981578388253
16,310484.264967439,313275.43376716564,2791.1687997265985
17,305639.1713491957,309124.0878877333,3484.9165385376255
18,442979.50403074996,446308.58281529666,3329.0787845466825
19,603362.3796023398,608070.7143815018,4708.334779161916
20,527529.2337674061,532027.6116545514,4498.377887145321
21,546775.9593352382,550339.3417511012,3563.3824158630673
22,591481.243708947,596807.4216974992,5326.177988552296
23,556593.4188477095,560647.8047827684,4054.385935058728
24,459513.6158484143,464333.5978017278,4819.981953313473
25,591779.593792287,593838.4277042313,2058.8339119443262
26,596226.8529769222,599172.6314475243,2945.778470602171
27,942399.1067740514,947018.0891137837,4618.982339732222
28,823495.1479842382,826422.5507532856,2927.4027690474313
29,660324.8914602802,665284.1908614873,4959.299401207141
30,232025.00229007853,234894.91402714563,2869.9117370670847
31,312624.99993706116,313987.091057207,1362.091120145881
32,1174972.215267938,1177667.8245762582,2695.609308320233
33,646374.9341424453,650721.7363224854,4346.802180040029
34,307846.93412600644,312481.2404006012,4634.306274594748
35,444571.5903395181,448072.4942413442,3500.903901826108
36,1111102.4063907696,1114121.3269678734,3018.9205771038105
