Chromosome,start,end,length
1,240613,242026,1413
2,220598,223837,3239
3,246228,249803,3575
4,121979,125728,3749
5,367716,372051,4335
6,118156,121569,3413
7,205003,208581,3578
8,374750,377003,2253
9,257382,260096,2714
10,249396,255633,6237
11,448421,450584,2163
12,263020,266648,3628
13,128269,132495,4226
14,153274,160518,7244
15,324541,331494,6953
16,321420,326225,4805
17,285664,290882,5218
18,427162,429399,2237
19,571226,577708,6482
20,515990,518402,2412
21,215364,219267,3903
22,557892,562939,5047
23,519665,526424,6759
24,682011,685501,3490
25,588981,591065,2084
26,587801,594331,6530
27,954056,956878,2822
28,830018,833724,3706
29,333765,336386,2621
30,230142,234840,4698
31,697983,702254,4271
32,1152055,1155350,3295
33,666575,669467,2892
34,1104723,1108098,3375
35,719713,722352,2639
36,1564692,1566932,2240
