Chromosome,start,end,length
1,254035,255843,1808
2,234124,238920,4796
3,252644,258318,5674
4,114921,121539,6618
5,355963,358992,3029
6,118016,122806,4790
7,206784,212629,5845
8,349762,354097,4335
9,252598,257889,5291
10,277426,281605,4179
11,157956,160031,2075
12,289473,293426,3953
13,116431,118394,1963
14,131533,137337,5804
15,296273,302218,5945
16,339913,343459,3546
17,295797,299267,3470
18,222220,225767,3547
19,580271,586614,6343
20,509326,512454,3128
21,540527,544356,3829
22,573455,577266,3811
23,355454,360108,4654
24,464181,467617,3436
25,584864,588637,3773
26,613618,615833,2215
27,986268,990081,3813
28,822657,825121,2464
29,582531,586045,3514
30,229069,232303,3234
31,650294,654565,4271
32,1169571,1173841,4270
33,640665,643870,3205
34,474856,478913,4057
35,448446,451808,3362
36,1095011,1098466,3455
