Chromosome,start,end,length
1,264111.00735900365,264340.39825041406,229.39089141044064
2,219820.94934982748,225556.51093577908,5735.561585951607
3,245812.82335888167,249204.2813153484,3391.4579564667592
4,117343.70696540602,120380.99552816908,3037.288562763061
5,372019.2447854514,372835.32124715985,816.0764617084751
6,117807.57491042322,122116.73209968327,4309.157189260049
7,205804.0334190871,208479.86622591392,2675.832806826823
8,369579.83926234575,374372.5229495657,4792.683687219983
9,256117.94071663328,258997.12159393413,2879.1808773008524
10,248687.6286653139,252227.9796521109,3540.3509867969874
11,0.0,0.0,0.0
12,262248.70634941605,265826.9811970787,3578.2748476626552
13,127417.19541875136,132908.58443906764,5491.389020316274
14,155620.7793017184,159690.73803324296,4069.958731524568
15,323812.9850002634,326791.0549263861,2978.0699261227305
16,320230.2023090283,326117.77144299645,5887.569133968127
17,285163.51242185524,290924.72513446724,5761.2127126119985
18,425279.78981888597,427586.3535732222,2306.563754336203
19,576213.9170655177,579178.8840010021,2964.9669354842686
20,2205823.3899872317,2208868.0519768246,3044.6619895929343
21,215130.9167320355,220165.75245555895,5034.835723523464
22,560456.5998881976,563514.4481942082,3057.8483060105514
23,523525.8274465601,526715.1248942453,3189.2974476852205
24,457924.25186954165,458908.0116384755,983.7597689338935
25,588674.4470826398,591275.6088798336,2601.161797193811
26,588383.6492873834,589961.7014404546,1578.0521530711653
27,953855.5550293514,957116.3967184634,3260.841689112118
28,829867.0516721049,833300.0188980036,3432.967225898753
29,332937.29574225127,337450.69669875904,4513.400956507776
30,561981.2909211626,562630.1984577787,648.9075366160123
31,697860.1161366643,702142.4465132749,4282.330376610611
32,1151533.2762454685,1154436.562058633,2903.2858131644603
33,665865.7309609441,669641.0348365876,3775.303875643594
34,300099.15957694815,300750.72892110964,651.5693441614559
35,1064912.2844104355,1067944.5603923167,3032.2759818813324
