Chromosome,start,end,length
1,267079,268893,1814
2,260398,264309,3911
3,248888,254208,5320
4,121716,129425,7709
5,361278,367807,6529
6,123970,129207,5237
7,423152,434629,11477
8,425308,429932,4624
9,279020,283950,4930
10,294115,299565,5450
11,158023,160177,2154
12,287279,290710,3431
13,85780,88361,2581
14,163887,168518,4631
15,313461,318856,5395
16,335002,338518,3516
17,325597,328872,3275
18,92052,96270,4218
19,250936,253827,2891
20,529644,533106,3462
21,224977,228513,3536
22,576138,580057,3919
23,560541,563307,2766
24,485059,488064,3005
25,573226,577012,3786
26,604177,606449,2272
27,917963,921255,3292
28,839860,843342,3482
29,581170,585026,3856
30,228247,231863,3616
31,780483,784235,3752
32,1179017,1183249,4232
33,651528,653811,2283
34,295825,300069,4244
35,534428,537798,3370
36,1127123,1130986,3863
