Chromosome,start,end,length
1,261008.88544549647,265136.7627965154,4127.877351018957
2,229989.6863565658,233146.050053419,3156.3636968532023
3,231074.29705702595,237772.05987613177,6697.762819105815
4,112662.05325046809,118852.37868266237,6190.325432194279
5,368303.0134013131,375528.03208096366,7225.018679650533
6,121160.14682025847,125639.32123507833,4479.174414819871
7,205739.2108246644,209296.01650672578,3556.8056820614047
8,368804.3625018239,373595.84047727584,4791.477975451871
9,269875.5079973015,273300.7480023073,3425.2400050057986
10,627006.0060947472,630428.2770325153,3422.2709377680317
11,190837.40035491975,192855.40374900517,2018.0033940854032
12,288220.4048855003,290862.16136523127,2641.756479730961
13,129007.40888740304,132025.84724843258,3018.4383610295286
14,150895.08258026358,156010.43915025413,5115.356569990538
15,373611.1368522655,379789.59802434966,6178.461172084137
16,332023.89020397846,335244.1280209389,3220.2378169604076
17,454516.863483202,458138.8762981485,3622.0128149465027
18,461286.4616155438,464178.52290782845,2892.0612922846344
19,601748.8287526141,604749.6374666479,3000.8087140337907
20,478135.9827487059,483350.1346827232,5214.151934017356
21,578219.8765756835,582464.1970490052,4244.320473321802
22,611854.640857904,613689.1351147909,1834.494256886859
23,524624.9731938806,527590.0477875085,2965.0745936278086
24,463284.4982945774,466167.8091931528,2883.310898575391
25,577736.56307257,581794.2759097696,4057.71283719953
26,590858.7618276619,594776.2183343852,3917.4565067232193
27,1016059.6751413243,1020392.9739983268,4333.29885700249
28,822573.2612292744,824483.6163970411,1910.355167766747
29,370636.8922076314,374066.77801808645,3429.8858104550463
30,225286.90708738478,227130.24074872662,1843.3336613418292
31,860528.1129265575,864318.1652820567,3790.0523554991523
32,1171722.0484854484,1173731.8231454177,2009.7746599694176
33,722815.8996812113,728373.4294622593,5557.529781048022
34,314735.6250994552,318463.56165142305,3727.9365519678804
35,444743.54997903184,448084.2614556101,3340.7114765782667
36,1125728.9408309083,1129767.4385637376,4038.4977328291784
