Chromosome,start,end,length
1,249973,255133,5160
2,256393,260386,3993
3,238457,243715,5258
4,113046,118700,5654
5,360362,365668,5306
6,116819,119832,3013
7,202755,206500,3745
8,332441,335411,2970
9,241848,247231,5383
10,289587,293331,3744
11,159929,164804,4875
12,268199,270572,2373
13,120557,124646,4089
14,162119,167324,5205
15,294762,299563,4801
16,326748,329801,3053
17,323062,325763,2701
18,438396,441913,3517
19,595340,598925,3585
20,583009,585287,2278
21,523942,526773,2831
22,615101,619036,3935
23,538359,541077,2718
24,462669,465586,2917
25,574437,576867,2430
26,579355,583382,4027
27,966409,968837,2428
28,809294,811617,2323
29,1507831,1516186,8355
30,226780,228902,2122
31,809502,813179,3677
32,1148655,1152131,3476
33,648061,650982,2921
34,285940,289662,3722
35,477794,480742,2948
36,2107831,2116186,8355
