Chromosome,start,end,length
1,249854.13764427663,255897.57732696226,6043.439682685622
2,255197.27840450764,262385.31395216973,7188.035547662086
3,237835.00682099228,244442.26336842502,6607.25654743272
4,112774.8388649035,117882.38093326744,5107.542068363945
5,360032.84252621,365812.87832903024,5780.035802820255
6,115934.10696047806,120326.39048926326,4392.283528785184
7,203820.4816829735,207114.49435217588,3294.012669202378
8,0.0,0.0,0.0
9,241055.81555320125,246302.97662606716,5247.161072865903
10,289351.78360289824,292378.39533308055,3026.6117301822974
11,159986.04194776234,164993.64520621276,5007.603258450409
12,267159.66065229336,270599.5306272883,3439.8699749948705
13,120217.60162763177,123991.91595874581,3774.3143311140443
14,161832.637791311,166125.74777804152,4293.109986730514
15,294822.031518321,299680.41756285686,4858.386044535872
16,327075.36596069904,329273.0002420286,2197.634281329607
17,322772.31908121257,325864.42437394883,3092.1052927362184
18,439132.7547057357,441651.3091499495,2518.5544442138207
19,594997.7383609605,599919.2319630361,4921.493602075644
20,808509.6568263632,812288.227914932,3778.571088568779
21,523233.4775775311,526875.015634126,3641.538056594949
22,614318.4223196406,618964.8552610241,4646.432941383437
23,538378.9065934562,541492.4291340264,3113.5225405702995
24,462168.132706105,465796.1590868869,3628.026380781925
25,574218.2161793733,577739.7191990532,3521.5030196799275
26,580029.0374719203,581635.5470684856,1606.509596565431
27,965590.3545291668,970436.3036568472,4845.949127680464
28,808509.6568263632,812288.227914932,3778.571088568779
29,74961.96796652951,80527.4481622234,5565.48019569388
30,226000.29348694358,229032.29132028914,3031.9978333455524
31,809788.3984320546,813342.3999719985,3554.001539943992
32,1148727.2896403067,1151366.84061444,2639.5509741333894
33,648374.7568415162,651525.3076462204,3150.5508047042385
34,285559.5973610207,290317.0298512306,4757.432490209976
35,477463.42795342935,480174.3959082351,2710.967954805771
36,3182501.76062261,3185554.8628470413,3053.1022244313262
