Chromosome,start,end,length
1,263515.2873249889,264138.0791242519,622.7917992629968
2,268204.98820988124,274226.79922707705,6021.811017195819
3,248778.42542467918,255575.85614007845,6797.4307153992695
4,119068.59898979834,125447.0181259433,6378.419136144963
5,365490.979868939,372016.3496692011,6525.369800262122
6,122932.1591078913,128725.16547898238,5793.006371091073
7,209932.41721078317,211982.64681976166,2050.229608978479
8,444085.4759791425,448832.5510952784,4747.075116135963
9,266047.80799816235,271994.682254983,5946.874256820608
10,326704.6573803791,331198.92906002235,4494.271679643223
11,159113.92923806753,162885.0833070029,3771.1540689353883
12,283806.38272462744,287357.9262212126,3551.5434965851723
13,143296.20525210694,145717.56446234442,2421.359210237469
14,168583.83084084015,172976.06757910087,4392.236738260719
15,342087.095148945,347886.03318954585,5798.938040600896
16,333756.5217675102,336951.1962948156,3194.6745273054094
17,347312.14923256036,351519.35870950285,4207.20947694251
18,435319.4226058826,440203.8540298598,4884.43142397725
19,640694.1945587115,646257.2880347613,5563.093476049906
20,513914.6333878377,517361.99347962096,3447.3600917833123
21,225298.60749690878,228736.8306197562,3438.2231228474097
22,661778.9697558235,665040.5988206817,3261.629064858198
23,567116.6327716612,570509.4311908308,3392.7984191695286
24,477820.77198760957,481778.2655802256,3957.4935926160933
25,575525.4040533802,579252.7224451972,3727.3183918168725
26,599815.3352712984,602828.7522442205,3013.416972922053
27,1059433.3964943157,1063961.0245854743,4527.628091158693
28,842519.4640162528,846118.7302125497,3599.266196296935
29,340814.74904673453,343930.97992749355,3116.2308807589725
30,228222.83692533927,232141.58824164516,3918.7513163059066
31,815020.456876919,818577.2845766139,3556.8276996948457
32,1167200.1259877617,1170136.9398972169,2936.813909455297
33,707120.4960470769,710198.798711716,3078.302664639101
34,305633.9886604475,310058.69222930697,4424.703568859521
35,465686.14211023226,469232.4261718986,3546.2840616663684
36,1141081.848116511,1144799.5650401094,3717.71692359834
