Chromosome,start,end,length
1,262586,264370,1784
2,266914,270781,3867
3,247552,253179,5627
4,124584,131234,6650
5,362307,369081,6774
6,121204,126375,5171
7,208384,213641,5257
8,472019,476415,4396
9,262371,267449,5078
10,320513,325446,4933
11,162780,165495,2715
12,285328,288498,3170
13,131343,133834,2491
14,165890,171585,5695
15,357058,362685,5627
16,334194,337788,3594
17,358649,362879,4230
18,439214,444988,5774
19,622797,629127,6330
20,518239,521760,3521
21,222179,225710,3531
22,643545,647673,4128
23,566096,568951,2855
24,476863,479769,2906
25,577645,581446,3801
26,598873,601398,2525
27,1020288,1023229,2941
28,828553,831681,3128
29,588529,591805,3276
30,230178,233767,3589
31,827435,831268,3833
32,1164239,1168239,4000
33,734110,736562,2452
34,324254,328574,4320
35,449438,452666,3228
36,1163402,1167214,3812
