Chromosome,start,end,length
1,78799,85687,6888
2,245833,250860,5027
3,242705,247341,4636
4,114381,119872,5491
5,410295,413592,3297
6,127729,130277,2548
7,201856,206999,5143
8,382945,387974,5029
9,257449,262807,5358
10,270381,272863,2482
11,178951,181462,2511
12,294140,298287,4147
13,117833,123654,5821
14,174085,178571,4486
15,288267,293957,5690
16,310241,313988,3747
17,305954,309163,3209
18,443097,446865,3768
19,603100,610167,7067
20,528771,532334,3563
21,546158,550476,4318
22,592533,596839,4306
23,556784,560466,3682
24,460508,463624,3116
25,590830,593434,2604
26,596380,598594,2214
27,943003,945309,2306
28,823088,826483,3395
29,607275,612084,4809
30,232587,234388,1801
31,756279,759004,2725
32,1173436,1178037,4601
33,646836,649368,2532
34,308942,311320,2378
35,445805,448434,2629
36,1110393,1114410,4017
