Chromosome,start,end,length
1,256327,259827,3500.0838100340347
2,263426,269695,6269.185364651296
3,246816,253285,6469.050345872705
4,125555,131064,5508.262739435071
5,360845,367632,6787.292420337985
6,122506,127282,4775.878504543316
7,208619,211599,2980.1671999317664
8,486617,492666,6049.697983637399
9,271560,275824,4264.550460924269
10,295979,300236,4256.882351665576
11,159002,161980,2978.4845803740595
12,286582,291440,4857.5401387577
13,143711,145580,1868.4870497504248
14,158083,162382,4298.892572579252
15,323006,330953,7947.317191244348
16,339952,343277,3325.633711943675
17,340240,344167,3926.5739957272417
18,444013,447570,3556.433830064265
19,624763,629231,4468.088313513428
20,523133,526360,3227.019862778036
21,225879,229771,3892.5580688906193
22,606962,609930,2968.261659689385
23,550788,554115,3326.7910447059703
24,466200,470628,4427.473537315669
25,587029,590176,3146.244597023852
26,606411,610460,4049.3608403905528
27,982843,986314,3470.8567207249275
28,820829,823596,2766.8601610260766
29,341006,343003,1997.039550221212
30,229576,232429,2853.421627806229
31,777550,781808,4258.443117710307
32,1169164,1172663,3499.3817246229355
33,760789,764638,3848.283139803853
34,298834,303066,4232.16545241442
35,546217,549394,3177.047545770151
36,1111947,1116021,4073.79761937906
