Chromosome,start,end,length
1,75587,79073,3486
2,276415,279250,2835
3,242888,247912,5024
4,121321,130211,8890
5,365685,370002,4317
6,120988,124352,3364
7,206214,210758,4544
8,411771,415601,3830
9,271949,275227,3278
10,385885,388708,2823
11,172739,174850,2111
12,250248,254780,4532
13,151160,154711,3551
14,157886,164627,6741
15,362593,371947,9354
16,337074,340179,3105
17,336745,339993,3248
18,438784,442883,4099
19,576315,579990,3675
20,507344,510673,3329
21,527107,531292,4185
22,632423,635926,3503
23,548239,551823,3584
24,470328,474382,4054
25,585816,587578,1762
26,605722,608568,2846
27,998982,1002260,3278
28,831183,835145,3962
29,330779,335242,4463
30,225391,229095,3704
31,863305,867236,3931
32,1174780,1177390,2610
33,804454,809767,5313
34,321683,327482,5799
35,504186,505600,1414
36,1152330,1155994,3664
