Chromosome,start,end,length
1,265021.5890303198,265815.83144706226,794.2424167424264
2,255536.81556521836,261345.40572696418,5808.590161745809
3,262076.32788380142,265727.87388520624,3651.546001404817
4,166019.38927274483,168912.01362208958,2892.6243493447514
5,378018.4590063309,381028.74030480284,3010.2812984719535
6,127888.18928798466,132453.86395429034,4565.674666305675
7,215774.50749039094,220217.1253791151,4442.617888724182
8,412227.53138571733,417025.6921474164,4798.160761699036
9,273516.74720983737,285070.64179463696,11553.894584799598
10,367230.9370027309,370177.29605063377,2946.359047902848
11,183688.07176800555,187343.81218177217,3655.740413766604
12,265926.19346543815,270309.2564172753,4383.06295183713
13,172318.67215294283,177167.3604809003,4848.688327957477
14,161618.0292963657,169726.80529119595,8108.775994830228
15,362076.2000921675,367188.0277444938,5111.827652326327
16,358934.29235891375,363286.5880351216,4352.295676207834
17,335907.22627962544,340290.02130605775,4382.795026432298
18,507395.82132348826,510517.5977672445,3121.7764437562396
19,623608.0462302811,626173.6183189171,2565.5720886360045
20,927479.0346696996,930792.4451061896,3313.410436490041
21,528416.9685347301,533234.7367040991,4817.768169368906
22,600868.6740456583,603936.0877835182,3067.413737859921
23,537009.5584722245,544833.8230636775,7824.2645914529785
24,478597.2482509031,481340.0335037075,2742.7852528043827
25,594384.8695936389,596659.6379108076,2274.768317168707
26,603772.4199972043,605375.1686284681,1602.7486312637761
27,978695.2496596578,983640.6545928792,4945.40493322143
28,927479.0346696996,930792.4451061896,3313.410436490041
29,339507.28036064823,343115.88185817964,3608.6014975314056
30,232157.72730834733,233522.44077348214,1364.7134651348338
31,713233.7674516888,718220.1816687027,4986.414217014039
32,1161977.972040118,1164363.8800492287,2385.908009110662
33,735201.5731384056,739150.8757508501,3949.302612444454
34,2527323.030396805,2527584.85956437,261.8291675648578
35,497055.03153066145,499505.9410860811,2450.909555419615
36,2452416.544167205,2455021.55674621,2605.0125790047446
