Chromosome,start,end,length
1,255476,260200,4724
2,233590,238283,4693
3,238238,243787,5549
4,112901,118598,5697
5,364084,369636,5552
6,121896,125004,3108
7,201555,205405,3850
8,218634,220615,1981
9,246902,252137,5235
10,261600,265298,3698
11,158878,163882,5004
12,269966,272214,2248
13,119645,121895,2250
14,159091,163988,4897
15,289304,293473,4169
16,332223,335110,2887
17,327778,330642,2864
18,431531,435179,3648
19,588526,592277,3751
20,532725,535564,2839
21,519841,523289,3448
22,598526,602224,3698
23,532334,535105,2771
24,466890,469840,2950
25,574689,577378,2689
26,576872,580994,4122
27,968972,971773,2801
28,810870,813337,2467
29,497320,498951,1631
30,225690,227837,2147
31,769479,772502,3023
32,1160171,1163574,3403
33,635650,637864,2214
34,303566,307516,3950
35,462701,465885,3184
36,1097320,1098951,1631
