Chromosome,start,end,length
1,264128.0807854057,268516.0765261188,4387.995740713094
2,268729.6522261375,275057.46580853965,6327.8135824021665
3,247912.36161291006,254160.2154402989,6247.8538273888435
4,115054.80749446817,120898.59320825162,5843.785713783463
5,375600.7964837598,382599.8350563741,6999.038572614253
6,124435.67023801526,131572.00049684837,7136.330258833098
7,206688.79807793372,209085.1211180649,2396.323040131189
8,415934.37832449464,418687.45710187533,2753.078777380719
9,259987.4475480037,264378.4880918386,4391.040543834933
10,299691.1486200695,303450.8330749832,3759.6844549136704
11,161159.4589500371,164226.88263930404,3067.423689266927
12,295768.76434133394,298991.08445055067,3222.32010921673
13,129211.05876458401,131486.0699600338,2275.0111954498025
14,163439.0262621477,168322.46874581708,4883.442483669407
15,334673.88616963045,341037.1047170902,6363.218547459719
16,336269.5085080461,339221.089004045,2951.5804959989227
17,349349.15688941046,353913.5818506797,4564.424961269225
18,442923.02635244903,445155.91351006326,2232.887157614252
19,618379.4406042267,622613.6086539604,4234.168049733775
20,529024.3670072088,532144.6023853294,3120.2353781205984
21,540540.3527489647,544687.1420367722,4146.78928780758
22,633567.9403621367,637760.8765431818,4192.936181045163
23,550091.0695658156,553324.8081966751,3233.7386308595696
24,476727.869513083,481737.8967645119,5010.027251428836
25,577713.9019466325,580751.1605482693,3037.2586016367122
26,596961.2730929021,601516.5785526804,4555.305459778269
27,996935.9880057065,1001570.9445338178,4634.956528111345
28,824404.1173461599,826032.8077710208,1628.6904248608607
29,342216.7883703756,345922.2900080339,3705.501637658334
30,234180.97897281562,237546.87050792892,3365.8915351133146
31,832875.0400498423,836810.6208150015,3935.580765159324
32,1168010.8697375471,1171186.5161304688,3175.646392921696
33,696838.0795296067,701084.8848483372,4246.805318730486
34,301986.71210589923,307076.0012651891,5089.289159289854
35,493117.4690610801,497475.67228569573,4358.203224615677
36,1144861.1833406663,1148184.1720590317,3322.9887183653445
