Chromosome,start,end,length
1,272542.8193119954,274384.24293346016,1841.4236214647601
2,288821.4882830335,295287.5649832805,6466.076700247022
3,257923.50875393223,263930.6031176323,6007.094363700064
4,132834.31733672388,139339.85147985726,6505.534143133365
5,394822.06325494184,401332.6968010255,6510.6335460836335
6,126985.62695203461,132764.6632478896,5779.036295854978
7,220770.7918050332,223012.59350649166,2241.8017014584593
8,488759.7261450671,492036.7604689623,3277.0343238952505
9,291871.2035666494,297324.6824775023,5453.478910852911
10,388099.0486196313,392610.55084055586,4511.502220924553
11,174769.38383207523,178923.65540011917,4154.27156804395
12,322602.77009913186,326176.0026056686,3573.2325065367563
13,147487.512369744,149675.83161692397,2188.319247179959
14,177451.1097950559,182040.6698755861,4589.560080530199
15,374700.3265290992,380849.4145277796,6149.087998680377
16,341276.4536001874,344936.9581879719,3660.5045877845796
17,356120.6794419844,360260.2308330958,4139.551391111415
18,446285.5764572099,448941.51139579306,2655.9349385832134
19,665317.9329779658,670840.1083326907,5522.17535472486
20,540362.4506685726,543980.3610470096,3617.9103784369618
21,566970.7361681366,571675.7756098075,4705.039441670857
22,683819.4208401013,687633.4733185766,3814.0524784753593
23,572133.4769602864,575561.645207198,3428.1682469116477
24,503317.4854185486,507917.906263121,4600.420844572414
25,590422.3158817961,593848.5401937794,3426.2243119833897
26,610915.4846036345,614437.4329961529,3521.948392518412
27,1061620.904426885,1066638.4518367785,5017.547409893329
28,848727.2696967904,852487.2121826832,3759.942485892762
29,311230.86194359243,312042.83275647514,811.9708128827242
30,244029.0487869742,248365.1873357816,4336.138548807405
31,839719.4779594981,843670.6347152117,3951.1567557135363
32,1176481.3787726483,1179613.6175597336,3132.2387870853477
33,756171.8785666906,760256.6910287493,4084.8124620586404
34,335445.8533792908,340173.6643010892,4727.8109217983865
35,616406.7925774402,619959.6639406835,3552.8713632434174
36,1209181.1590530484,1212722.7988456052,3541.6397925569927
