Chromosome,start,end,length
1,251628.39145074645,259976.8683831084,8348.476932361958
2,232484.48975979481,239265.6193138627,6781.129554067888
3,237625.90515526774,243937.3495016243,6311.444346356544
4,112626.73152757072,118429.39750957425,5802.665982003532
5,363923.5316751603,369864.7800918262,5941.248416665905
6,120865.38719515102,125445.1913784344,4579.804183283389
7,202024.58690834502,205825.23475527632,3800.647846931285
8,0.0,0.0,0.0
9,246306.06490025157,251265.78968704486,4959.724786793272
10,261374.4355920376,264541.2363623902,3166.8007703526314
11,159076.16064482112,163606.29029966454,4530.129654843415
12,267932.52012513997,272148.32685106306,4215.806725923112
13,118972.84800097432,123993.67692146884,5020.828920494513
14,158860.01864256064,163375.82862817516,4515.8099856145345
15,288584.0164885467,293745.67209006986,5161.655601523179
16,331928.8454348179,334873.4989499861,2944.6535151682297
17,326593.7575484387,330720.07158342283,4126.3140349841815
18,432331.53326031397,435476.2675358175,3144.7342755035806
19,588135.1940091497,592425.1866697712,4289.992660621512
20,0.0,0.0,0.0
21,519582.35792418924,522939.5777612532,3357.219837063941
22,597200.9171892051,602308.9648021789,5108.0476129738745
23,531873.8956092102,535734.779169739,3860.8835605287863
24,466293.66173347755,469954.4173452971,3660.755611819589
25,574568.5575093579,578108.2357891443,3539.678279786396
26,577681.5851873276,580625.0283698487,2943.443182521226
27,968472.5321115794,972957.9476653998,4485.415553820377
28,810475.3637480707,813608.8283280529,3133.464579982221
29,75080.74041552885,81012.3655515166,5931.625135987747
30,224715.52464787578,228422.0970434141,3706.572395538338
31,769685.4113657777,772765.5034140836,3080.0920483060067
32,1159621.9314837188,1163560.0650542174,3938.1335704984094
33,635224.8683530343,638217.7890595193,2992.920706484989
34,303174.6714320452,308091.6406023829,4916.969170337713
35,462734.3307112968,465354.9598679094,2620.6291566125883
36,3131863.0669587925,3135477.0286858683,3613.96172707571
