Chromosome,start,end,length
1,262107,263903,1796
2,269373,272783,3410
3,249506,255095,5589
4,119304,126028,6724
5,365567,372125,6558
6,123839,129118,5279
7,209911,215149,5238
8,444589,448932,4343
9,266948,271961,5013
10,326749,332008,5259
11,158820,161719,2899
12,284868,287961,3093
13,142650,145039,2389
14,168651,174251,5600
15,341990,347632,5642
16,333847,337385,3538
17,347380,351626,4246
18,434916,440803,5887
19,640456,646533,6077
20,514045,517756,3711
21,225091,228551,3460
22,661551,665899,4348
23,567643,570449,2806
24,478436,481436,3000
25,575339,579079,3740
26,599665,602056,2391
27,1060266,1063035,2769
28,842928,846352,3424
29,316103,318343,2240
30,228725,232250,3525
31,815551,819291,3740
32,1166394,1170314,3920
33,707283,709770,2487
34,305854,310068,4214
35,466649,469778,3129
36,1141791,1145751,3960
