Chromosome,start,end,length
1,253743.80397970468,256876.58609068798,3132.7821109832967
2,233728.4413385628,240783.23873443052,7054.797395867725
3,252075.92651088728,257763.26362481245,5687.337113925175
4,114736.43910915703,118980.0546543395,4243.615545182474
5,352112.2751448379,359684.6125832464,7572.337438408421
6,117604.19925727029,122083.49189315668,4479.29263588639
7,206869.54584965875,211416.03693923348,4546.49108957473
8,349486.71061825455,355148.95006207033,5662.239443815804
9,252358.17912452196,257229.2166697231,4871.037545201132
10,277995.7768961505,281269.875043332,3274.0981471815116
11,157953.90315507687,161173.98965974274,3220.0865046658905
12,289015.1747308519,293558.34152592573,4543.16679507382
13,116774.84262547601,119134.44381942287,2359.601193946854
14,131346.6731005552,136510.594176122,5163.921075566776
15,295774.8037252784,302494.5061012252,6719.702375946808
16,339209.7642877036,342995.65939017205,3785.89510246845
17,295664.35174207087,298725.2109856665,3060.8592435955743
18,515574.99148824683,518725.0024209878,3150.01093274098
19,580884.3199870036,585977.8371768014,5093.517189797831
20,509461.6015743153,512602.2654347141,3140.663860398824
21,539982.2031018733,544876.1486897165,4893.945587843179
22,572623.3328811802,577126.2757057113,4502.942824531129
23,355503.86548657215,357325.9919466871,1822.1264601149571
24,463567.0132381099,467273.74289473647,3706.7296566265795
25,585956.4816821665,588443.7221214479,2487.240439281416
26,612573.3824545953,616259.0883815392,3685.7059269439687
27,986803.6395315367,990116.3005634974,3312.6610319605843
28,821600.6649997411,824478.7352409938,2878.070241252662
29,341521.8413080133,343331.0044826173,1809.1631746040193
30,228431.19483087174,232273.531638166,3842.3368072942453
31,650078.6957344933,654625.0751614628,4546.379426969371
32,1170050.8300688385,1173698.3166828635,3647.4866140249715
33,640418.9672796474,644115.2859193054,3696.318639657983
34,474524.6947645392,478561.48799540097,4036.7932308617355
35,448616.8453318682,452461.8216629352,3844.9763310669396
36,1094244.5551953625,1098643.9117475387,4399.356552176209
