Chromosome,start,end,length
1,266899,268728,1829
2,270121,274041,3920
3,246870,252398,5528
4,125325,131938,6613
5,364043,370645,6602
6,122004,127254,5250
7,208898,214051,5153
8,449633,453888,4255
9,261586,266513,4927
10,341272,346549,5277
11,158303,161132,2829
12,285202,288663,3461
13,127564,130010,2446
14,166973,172643,5670
15,326716,332212,5496
16,332526,336056,3530
17,342989,346235,3246
18,440136,445909,5773
19,640192,646620,6428
20,520563,523945,3382
21,223071,226603,3532
22,636342,640567,4225
23,576161,578903,2742
24,477474,480545,3071
25,580193,583962,3769
26,606301,608797,2496
27,1004668,1007610,2942
28,823247,826729,3482
29,315499,317960,2461
30,229532,233137,3605
31,809275,813132,3857
32,1187817,1192043,4226
33,697751,700220,2469
34,317910,322087,4177
35,481902,485121,3219
36,1123870,1127803,3933
