Chromosome,start,end,length
1,0.0,0.0,0.0
2,275152.0256768418,283076.65152164124,7924.625844799486
3,242250.7523617457,247942.48644441925,5691.734082673554
4,120936.60015634855,129884.23716537897,8947.63700903042
5,364938.37615662377,370445.9006878223,5507.524531198551
6,120529.24947028933,124149.64744558031,3620.3979752909845
7,206065.31719580022,210834.19775365444,4768.88055785422
8,411700.05279536033,415661.48416412785,3961.431368767545
9,271491.19494018593,274574.1912009157,3082.996260729803
10,383025.8250273753,387946.03280251,4920.207775134715
11,172320.4938867056,175183.86156065972,2863.367673954116
12,250569.22467468903,253511.23480430513,2942.010129616102
13,152581.88228129054,153334.79753256286,752.9152512723385
14,157437.27102853495,160744.0257580125,3306.7547294775536
15,362628.1183855725,372255.28740471444,9627.169019141935
16,336211.5439361043,339978.8963717973,3767.35243569304
17,336420.8189135108,340177.6228694183,3756.8039559074577
18,438631.5610696965,441200.65245915944,2569.091389462915
19,576072.2955308491,580498.3313800262,4426.035849177022
20,507288.3511722769,511037.50356938044,3749.1523971035617
21,527625.2054869598,531773.7788617352,4148.573374775477
22,633220.1030603013,636121.2059015324,2901.1028412311434
23,548332.0481969715,551652.314760554,3320.2665635824287
24,470287.1613653681,474259.53469853307,3972.373333164953
25,610939.0732590595,613942.1071172409,3003.0338581814435
26,606021.1673066461,609615.7605573229,3594.593250676854
27,998259.643993499,1002492.4793578712,4232.835364372305
28,830679.638416729,835288.3988698074,4608.760453078263
29,330564.81949705,333773.138900269,3208.319403219002
30,225030.1334263478,228028.35067563158,2998.2172492837676
31,863230.3251374988,866623.8932050351,3393.5680675363956
32,1174472.2118438832,1175884.6159397012,1412.4040958181708
33,803767.7266103685,806547.5134666979,2779.7868563293605
34,321532.09947473346,324081.3645462491,2549.2650715156374
35,507739.53142181336,510680.6871775338,2941.1557557204546
36,1152138.1449362922,1156266.3151791347,4128.170242842639
