Chromosome,start,end,length
1,285041.77441556717,290492.65204817354,5450.877632606385
2,293395.9276639335,299722.1954635945,6326.267799661022
3,244974.53421661755,251076.61867710322,6102.084460485684
4,153212.40236988655,158404.0618614425,5191.659491555932
5,434424.7826362851,440944.59617186326,6519.813535578119
6,139237.28792034683,145455.22684663112,6217.938926284281
7,248424.22762644207,253093.75883480493,4669.531208362872
8,427912.7330067685,430978.61929836695,3065.8862915984614
9,330443.1985117029,336021.4168490689,5578.218337365987
10,336406.07109184586,341354.93276270735,4948.861670861442
11,211260.68659146258,215512.2571234806,4251.570532018021
12,286497.843716353,290537.197275644,4039.35355929098
13,139557.0376018941,144547.82520028297,4990.7875983888825
14,212035.5502450304,217652.289745638,5616.739500607613
15,363566.3849529483,371772.8546733606,8206.46972041227
16,361400.8011586503,367142.73749893176,5741.936340281452
17,387064.06930610276,390799.61875229696,3735.5494461942044
18,440917.851244499,446371.30615652574,5453.454912026793
19,597609.6674009878,603114.733363801,5505.0659628132325
20,535913.5121703227,540517.6144446724,4604.10227434961
21,543789.8200664974,547691.5439253816,3901.7238588841906
22,625993.057959865,634527.296988828,8534.239028963031
23,656240.023828808,660817.3182765798,4577.29444777179
24,500505.9931539695,506383.81986638147,5877.826712411949
25,669239.0800861659,673211.9673408397,3972.887254673752
26,679594.2667603453,683873.8693167033,4279.602556358027
27,1006553.8486767709,1010648.6460975433,4094.7974207724087
28,863008.2911572694,867918.9690304601,4910.677873190738
29,352984.7423844995,357182.27732635627,4197.534941856735
30,231876.1311819558,238076.07613273326,6199.9449507774525
31,884478.080582521,890300.6199702632,5822.539387742177
32,1196576.5128796846,1202193.426131907,5616.913252222166
33,781073.9689665916,784977.1094903082,3903.140523716658
34,343794.26597740955,349531.11555132375,5736.8495739141945
35,493811.72190678085,499917.67088948906,6105.948982708188
36,1160999.8805318011,1166008.2562239708,5008.375692169777
