Chromosome,start,end,length
1,267071,268891,1820
2,260398,264150,3752
3,248873,254169,5296
4,121692,129002,7310
5,361271,367116,5845
6,123970,129207,5237
7,423152,434629,11477
8,425308,429932,4624
9,279031,283950,4919
10,294113,299154,5041
11,158114,160176,2062
12,287281,290710,3429
13,85792,88360,2568
14,163943,168518,4575
15,313442,318778,5336
16,335002,338518,3516
17,325594,328874,3280
18,92052,96270,4218
19,250935,253826,2891
20,529643,533105,3462
21,224020,227556,3536
22,576092,580003,3911
23,560541,563307,2766
24,485059,488064,3005
25,573211,577008,3797
26,604181,606449,2268
27,917963,921255,3292
28,839854,843336,3482
29,581069,584925,3856
30,228247,231863,3616
31,780490,784218,3728
32,1179017,1183249,4232
33,651526,653809,2283
34,295825,300069,4244
35,534428,537798,3370
36,1127123,1130957,3834
