Chromosome,start,end,length
1,257134,258787,1653
2,265411,268465,3054
3,248430,254430,6000
4,140107,146764,6657
5,364575,371196,6621
6,122304,126846,4542
7,208701,214669,5968
8,446719,450825,4106
9,269599,275187,5588
10,295451,299964,4513
11,161360,163414,2054
12,287539,291145,3606
13,136727,138694,1967
14,158024,162307,4283
15,339854,346421,6567
16,339657,343326,3669
17,350862,353833,2971
18,443074,448775,5701
19,650442,657568,7126
20,519756,522997,3241
21,225619,229789,4170
22,613157,616379,3222
23,545724,548563,2839
24,469608,473078,3470
25,580089,583791,3702
26,603005,607150,4145
27,997967,1000397,2430
28,822552,824690,2138
29,340834,343183,2349
30,228433,231797,3364
31,810142,814200,4058
32,1173157,1177508,4351
33,729343,732296,2953
34,298438,302663,4225
35,465501,468830,3329
36,1149282,1152968,3686
