Chromosome,start,end,length
1,286441,289450,3009
2,294828,298181,3353
3,248558,250563,2005
4,153442,159272,5830
5,435063,437055,1992
6,142498,144508,2010
7,251206,253851,2645
8,427598,430302,2704
9,330963,336156,5193
10,337910,340037,2127
11,210283,214088,3805
12,287419,290258,2839
13,140225,146466,6241
14,212903,216773,3870
15,363705,371568,7863
16,362277,366740,4463
17,387702,389524,1822
18,442249,445833,3584
19,597990,602381,4391
20,634576,635958,1382
21,543949,548052,4103
22,630359,632984,2625
23,657410,661178,3768
24,501461,506140,4679
25,669560,671755,2195
26,679777,682215,2438
27,1007409,1009811,2402
28,612366,614549,2183
29,353488,356207,2719
30,232871,234918,2047
31,885327,887110,1783
32,1199876,1202267,2391
33,782442,784339,1897
34,346733,350778,4045
35,493701,498926,5225
36,1161404,1167226,5822
