Chromosome,start,end,length
1,261696,263452,1756
2,240977,245494,4517
3,251324,257470,6146
4,115725,121691,5966
5,360866,365052,4186
6,123078,127588,4510
7,212920,214710,1790
8,395288,399673,4385
9,259713,265060,5347
10,284999,289379,4380
11,159603,161750,2147
12,287879,291508,3629
13,121887,123886,1999
14,156817,161187,4370
15,306172,312714,6542
16,342780,346442,3662
17,314458,317609,3151
18,228941,231702,2761
19,615424,622685,7261
20,513790,516873,3083
21,220085,223771,3686
22,586526,589736,3210
23,551832,554602,2770
24,489217,492571,3354
25,588074,591643,3569
26,598532,602810,4278
27,979122,981803,2681
28,825603,828790,3187
29,1117266,1118940,1674
30,229272,232639,3367
31,760092,764727,4635
32,1174760,1179333,4573
33,666601,669528,2927
34,301477,305645,4168
35,464409,467759,3350
36,1113129,1116864,3735
